Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.11485774,59.03407095,58.89357218,58.89708465,58.87249737,58.914647,,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,17.5,20,20,23.5,23.95,24,22.5,22.5,25.2,25,25,25,24,24,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,,
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,22.72727273,20.45454545,22.72727273,20.45454545,25,25,22.72727273,22.72727273,25,25,25,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,15.90909091,18.18181818,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,,
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.76333188,62.03779226,62.39922656,62.72910581,63.29604298,63.39618678,63.72838393,66.85101611,66.50196151,64.22978776,65.02429828,65.06059383,64.81092902,65.13114562,65.02570845,65.18126082,63.97953738,64.5770147,64.20447002,64.51687646,64.50737409,63.8834724,62.97449982,63.33493876,63.36526821,60.98967757,61.31236739,61.44670216,60.80262421,60.45546256,60.24003228,60.65943793,59.89052758,61.06803952,60.31891491,60.55868685,60.16856931,60.3830884,59.05692306,59.28810382,59.31817294,58.1856996,57.20942947,51.40465746,53.39937258,53.27857543,51.85367663,50.67336605,50.01848405,48.99209872,51.56281322,50.38543145,48.39371022,48.73839866,45.31442407,44.53992579,48.34061794,46.65809501,,
Austria,AUT,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.05400823,42.75853718,42.25962703,42.09857108,41.94962461,41.24485348,40.85371761,40.67934124,40.58004359,40.39476871,40.21433761,40.04722693,39.01913296,38.83870186,38.62315331,38.55049649,38.47905062,38.51780092,38.05885202,38.03584403,38.21022039,38.05643013,36.64204408,36.73044321,36.78251393,36.6529426,36.66747396,36.9132962,36.94114798,36.61782514,36.77524824,36.48583192,36.31629935,36.25696295,36.09953984,36.00508598,35.89973359,35.84281908,35.78590458,35.60426253,35.31242432,35.14410269,34.93860499,34.72269315,34.59433277,34.43085493,34.27183996,34.02116787,33.84678728,33.65830618,33.39712455,33.13225283,32.91369304,32.89022454,32.94292293,32.35785264,32.16941348,32.14772176,,
Azerbaijan,AZE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.42898687,53.55396133,53.90725453,53.94450653,54.3903289,55.14137736,56.34838492,56.73659392,57.38635676,57.45000242,57.43179452,57.52552872,57.51524095,57.56835229,57.55291213,57.56453545,57.56834933,57.57909516,57.67034456,57.69193544,57.68709623,57.70454518,57.70054317,57.7017529,57.73557518,57.79560136,57.8253926,,
Burundi,BDI,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.3317757,61.91588785,62.46105919,62.5,63.23987539,63.12305296,64.87538941,65.26479751,73.87071651,73.20872274,73.94859813,74.2211838,77.88161994,79.04984424,80.21806854,81.58099688,83.45015576,82.55451713,81.77570093,81.30841121,80.80218069,80.21806854,80.21806854,80.21806854,80.21806854,81.07476636,81.46417445,81.97040498,81.97040498,82.16510903,82.16510903,82.55451713,82.67133956,80.72429907,79.32242991,77.60903427,76.01246106,74.49376947,73.48130841,72.70249221,72.07943925,71.41744548,71.37850467,71.96261682,70.83333333,69.43146417,67.48442368,69.43146417,71.37850467,71.37850467,73.32554517,75.27258567,79.16666667,79.16666667,79.16666667,79.16666667,79.16666667,79.16666667,,
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,55.17976843,55.33211456,53.99146862,53.65630713,53.56489945,53.47349177,53.56489945,53.3820841,53.71724558,53.71724558,53.503961,53.26020719,53.71724558,54.87507617,54.57038391,54.26569165,53.86959171,54.11334552,51.46252285,44.82023157,44.48507008,46.64838513,46.55697745,46.43510055,46.19134674,46.00853138,42.74832419,45.58196222,44.66788544,43.96709324,43.35770871,44.82023157,45.18586228,45.46008531,45.55149299,45.73430835,46.00853138,46.25228519,46.34369287,45.89167768,45.7992074,45.87516513,45.97754293,45.94782034,45.67371202,45.57463672,45.14200793,45.08916777,45.0330251,44.77212682,44.11162483,43.98943197,44.13804491,43.9663144,43.85733157,44.61030383,43.82430647,44.71598415,,
Benin,BEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,12.78822277,12.96559063,13.1429585,13.32032636,13.49769422,13.76374601,14.11848173,14.38453352,15.13834693,15.31571479,15.75913444,16.02518624,16.2025541,16.46860589,16.82334161,17.0893934,17.35544519,17.53281305,17.71018092,17.97623271,18.2422845,18.53494147,18.6236254,18.71230933,18.88967719,19.42178077,19.5104647,19.59914863,19.68783256,20.13125222,20.21993615,20.35296204,20.57467187,21.28414331,22.34835048,24.03334516,25.62965591,27.04859879,27.58070238,28.33451579,28.9553033,29.8421426,30.74671869,30.74671869,30.89748138,29.62043278,29.70911671,31.48279532,32.36963462,32.36963462,32.36963462,33.25647393,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,35.03015254,,
Burkina Faso,BFA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,29.74780702,29.78435673,29.82090643,29.85745614,29.89400585,29.93421053,29.97076023,30.00730994,30.05116959,30.10233918,30.04385965,30.34356725,30.60307018,30.89546784,31.19883041,31.37792398,31.56067251,31.74342105,31.92616959,32.10891813,32.29166667,32.4744152,32.65716374,32.83991228,33.02266082,33.20540936,33.40643275,34.95614035,35.0877193,34.99634503,34.90497076,34.81359649,34.72222222,34.47002924,34.53947368,34.90497076,36.00146199,36.44005848,36.44005848,35.70906433,38.63304094,39.36403509,40.82602339,38.99853801,40.09502924,39.36403509,40.09502924,44.11549708,43.01900585,44.15204678,43.09210526,44.2251462,44.95614035,44.2251462,44.2251462,44.2251462,44.2251462,44.2251462,,
