Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077799998,0.152099997,0.146599993,0.144400001,0.482199997,0.598399997,0.602199972,0.904900014,,
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.009577159,8.24547226,7.516470972,8.616993882,8.259946779,8.217805712,8.86597056,9.080242836,8.595072694,8.507273787,8.423999786,8.37100029,8.739500046,7.151500225,6.680799961,6.712299824,6.853600025,6.952000141,6.789999962,7.148900032,8.163399696,8.318599701,8.294500351,9.215200424,9.316900253,9.315500259,9.419799805,9.686100006,9.645000458,,
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.13575415,24.49579821,26.13679158,26.35780775,25.67945465,25.63008795,24.03687734,24.8710509,24.40935442,26.43831079,26.43580055,25.52779961,24.68289948,22.55800056,23.17140007,24.43510056,26.75060081,29.02639961,29.75569916,31.28840065,31.13459969,31.63780022,34.28430176,34.70259857,35.79090118,34.87720108,34.61429977,33.95909882,33.84560013,,
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722062718,0.804646398,1.217250557,1.983066048,1.515961004,1.366840065,1.738902664,1.989848785,2.4843814,2.143936114,2.065099955,1.752099991,2.351200104,2.944099903,3.069999933,3.36439991,2.861000061,3.788199902,3.085799932,3.268599987,4.448999882,3.555799961,2.845299959,2.525899887,2.116600037,2.312200069,1.926800013,1.908800006,1.971300006,,
Burundi,BDI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.20067222,94.23866263,94.99578261,94.90709274,95.11796023,95.11184389,95.18932706,95.24278522,95.26169809,93.74959579,93.22570038,94.84069824,94.64880371,95.75839996,96.04109955,96.01039886,95.30500031,95.29160309,95.14550018,95.1760025,92.57050323,91.65339661,91.44689941,91.07980347,91.35220337,91.16819763,89.54199982,88.14150238,85.52690125,,
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.269461495,1.215081737,1.194333201,0.956473288,0.939572924,1.26038954,1.184407099,1.148478311,1.291956464,1.400650838,1.443799973,1.580500007,1.681300044,1.888700008,2.022000074,2.458800077,2.822299957,3.337899923,3.905299902,4.827300072,5.824800014,6.630099773,7.758999825,8.092900276,9.124799728,9.376099586,9.206899643,9.637999535,10.6626997,,
Benin,BEN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.70324086,94.96484833,94.85183513,94.98880117,94.97503519,94.77198722,84.14596757,80.62643185,79.56843189,76.9054247,70.2928009,66.85769653,64.04190063,61.7344017,60.69490051,59.19520187,57.30730057,54.49060059,54.76210022,52.83240128,47.19290161,48.69639969,50.32960129,51.96649933,51.0489006,49.94319916,45.42409897,45.38010025,43.97230148,,
Burkina Faso,BFA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.15806029,93.25382296,93.29009799,93.47999276,93.60809416,93.14020004,92.15659354,91.39095485,91.01254906,86.85491661,85.40499878,83.67590332,79.34140015,79.07900238,83.52809906,86.54370117,84.61569977,82.42880249,82.93990326,83.59719849,81.45410156,80.57219696,77.17500305,75.42700195,75.24259949,72.71399689,72.26650238,69.08070374,66.96620178,,
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6649713,73.15966732,71.66070373,70.55712302,68.97990719,63.80280917,62.1240766,59.97285612,60.23397129,60.53439575,59.02180099,55.79859924,54.33649826,52.65309906,52.1413002,50.79719925,48.9280014,47.51350021,45.63029861,43.72520065,41.0746994,39.47409821,38.63600159,38.69960022,37.28649902,34.21630096,33.53620148,31.60320091,30.70619965,,
Bulgaria,BGR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.916848509,2.250552832,2.681073481,2.467834604,2.380942269,3.106707196,3.546340551,3.809662787,5.889736549,6.627507829,7.965300083,7.243500233,8.697299957,9.161600113,9.587100029,9.87349987,9.970399857,8.837400436,9.920499802,11.59780025,14.24059963,13.20320034,15.60319996,18.20639992,17.11720085,17.81990051,17.67300034,17.07999992,19.52750015,,
